provider_id,redcap_survey_identifier,provider_age,provider_type,provider_type_other,provider_years,provider_practicesetting,provider_specialty,provider_elective,provider_followup,provider_see_ssi,provider_see_photo,provider_gender,provider_race___1,provider_race___2,provider_race___3,provider_race___4,provider_race___5,provider_race___6,provider_language,provider_colorblind,demo_complete,instructions_complete,pt116_desc_ssi,pt116_desc_ssi_type,pt116_desc_ssi_conf,pt116_desc_sso,pt116_desc_sso_conf,pt116_desc_nextstep,pt116_desc_complete,pt116_both_ssi,pt116_both_ssi_type,pt116_both_ssi_conf,pt116_both_sso,pt116_both_sso_conf,pt116_both_nextstep,pt116_both_complete,pt202_desc_ssi,pt202_desc_ssi_type,pt202_desc_ssi_conf,pt202_desc_sso,pt202_desc_sso_conf,pt202_desc_nextstep,pt202_desc_complete,pt202_both_ssi,pt202_both_ssi_type,pt202_both_ssi_conf,pt202_both_sso,pt202_both_sso_conf,pt202_both_nextstep,pt202_both_complete,pt215_desc_ssi,pt215_desc_ssi_type,pt215_desc_ssi_conf,pt215_desc_sso,pt215_desc_sso_conf,pt215_desc_nextstep,pt215_desc_complete,pt215_both_ssi,pt215_both_ssi_type,pt215_both_ssi_conf,pt215_both_sso,pt215_both_sso_conf,pt215_both_nextstep,pt215_both_complete,post_survey_instructions_complete
38,7,56,1,,25,3,1,1,2,0,0,1,0,1,0,0,0,0,1,2,2,2,0,,7,1,7,6,2,0,,8,0,8,6,2,1,3,7,0,7,7,2,1,3,8,0,8,7,2,1,2,8,0,8,7,2,1,2,8,0,8,7,2,2
39,7,66,1,,41,3,1,1,1,1,2,1,0,1,0,0,0,0,1,2,2,2,0,,8,1,8,5,2,1,2,8,1,8,5,2,1,2,8,0,8,5,2,1,2,10,0,9,5,2,1,2,9,0,9,2,2,1,1,9,0,9,5,2,2
40,7,39,1,,4,4,2,1,2,1,5,2,0,1,0,0,0,0,1,2,2,2,0,,9,0,9,1,2,0,,9,0,9,1,2,1,2,6,1,5,5,2,1,2,7,0,5,5,2,1,2,6,0,5,5,2,0,,4,0,5,6,2,2
41,7,48,1,,13,3,1,1,1,0,0,1,0,1,0,0,0,0,1,2,2,2,0,,9,0,9,6,2,0,,10,1,9,2,2,1,2,7,1,7,5,2,1,2,10,0,9,5,2,0,,10,0,10,5,2,0,,1,1,10,3,2,2
42,7,51,1,,21,1,8,1,2,1,2,1,1,0,0,0,0,0,1,2,2,2,0,,10,0,10,6,2,0,,10,0,10,1,2,1,2,10,1,10,7,2,1,1,10,1,10,7,2,1,2,10,1,10,7,2,1,1,10,1,10,6,2,2
43,7,38,1,,3,1,4,1,2,1,1,1,0,1,0,0,0,0,1,2,2,2,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,0
44,7,61,1,,28,1,10,2,2,3,200,1,0,1,0,0,0,0,1,1,2,2,0,,6,1,6,3,2,1,1,8,0,8,5,2,1,2,6,0,6,5,2,1,1,9,0,9,5,2,1,2,6,0,6,5,2,1,1,9,0,9,6,2,2
45,7,74,1,,43,6,1,1,2,1,0,1,0,1,0,0,0,0,1,2,2,2,0,,9,0,8,1,2,1,1,5,0,5,6,2,1,1,5,0,5,5,2,1,2,5,1,5,7,2,1,3,8,1,8,7,2,1,1,5,0,5,6,2,2
46,7,52,1,,21,3,1,2,1,2,0,1,0,1,0,0,0,0,1,2,2,2,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,0
47,7,56,1,,23,4,1,1,1,1,0,1,0,1,0,0,0,0,1,2,2,2,0,,9,0,9,1,2,0,,9,0,9,1,2,1,1,9,1,9,6,2,1,1,9,1,9,4,2,1,2,9,1,9,6,2,1,1,9,1,9,6,2,2
48,7,59,1,,28,6,1,1,1,1,1,1,0,1,0,0,0,0,1,2,2,2,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,0
49,7,35,1,,2,3,5,2,2,5,5,2,0,0,1,0,0,0,1,2,2,2,0,,5,1,8,5,2,0,,10,0,10,1,2,0,,3,1,10,5,2,0,,6,1,10,5,2,1,1,5,0,5,5,2,1,1,5,0,6,5,2,2
50,7,36,1,,4,3,1,2,2,2,0,2,1,1,0,0,0,0,1,2,2,2,0,,8,1,4,6,2,1,1,7,0,4,5,2,1,1,7,0,7,7,2,1,1,8,0,7,7,2,1,2,8,0,7,7,2,1,2,8,0,8,7,2,2
51,7,38,1,,6,6,1,1,2,1,0,1,0,1,0,0,0,0,1,2,2,2,0,,9,0,7,1,2,0,,10,0,10,1,2,1,1,5,0,5,5,2,1,1,10,1,10,7,2,1,2,7,0,0,7,2,0,,8,0,0,5,2,2
52,7,56,1,,26,3,1,1,1,1,0,1,0,1,0,0,0,0,1,2,2,2,0,,9,0,7,1,2,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,0
53,7,52,1,,16,3,1,1,1,1,0,1,0,1,0,0,0,0,1,2,2,2,0,,9,1,9,2,2,0,,9,0,9,1,2,0,,9,1,9,6,2,0,,9,1,9,5,2,1,1,9,1,9,5,2,0,,9,0,9,3,2,2
54,7,64,1,,28,3,1,1,2,180,90,1,0,1,0,0,0,0,1,2,2,2,1,2,8,1,6,4,2,1,2,8,1,6,4,2,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,0
55,7,65,1,,34,6,10,1,6,0,1,1,0,0,0,0,0,1,1,3,2,2,0,,9,0,9,1,2,0,,9,0,9,1,2,1,3,8,1,9,5,2,1,2,8,1,9,5,2,,,,,,,0,,,,,,,0,0
56,7,37,1,,2,5,1,1,2,0,0,1,0,1,0,0,0,0,1,2,2,2,0,,8,1,5,5,2,1,1,10,0,9,5,2,1,2,6,1,3,7,2,1,2,9,1,6,7,2,1,2,8,1,5,7,2,1,1,9,1,6,5,2,2
57,7,51,1,,17,3,10,1,2,2,0,1,0,1,0,0,0,0,1,2,2,2,0,,10,1,5,6,2,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,0
58,7,50,1,,18,4,1,1,3,4,0,1,0,1,0,0,0,0,1,2,2,2,0,,8,1,5,6,2,0,,10,0,8,1,2,1,2,5,0,6,5,2,1,1,9,0,9,7,2,1,2,8,0,5,7,2,0,,6,0,7,6,2,2
59,7,59,1,,19,3,1,1,1,3,0,1,0,1,0,0,0,0,1,2,2,2,0,,9,0,9,5,2,0,,9,1,6,5,2,1,1,6,0,6,5,2,1,1,9,0,9,5,2,1,1,8,0,8,5,2,0,,9,0,9,6,2,2
60,7,54,1,,23,4,1,1,6,1,0,1,0,1,0,0,0,0,1,2,2,2,0,,8,0,5,6,2,0,,10,0,10,2,2,1,3,3,1,3,5,2,1,1,7,0,7,5,2,1,3,8,1,4,7,2,0,,7,0,7,5,2,2
61,7,65,1,,34,3,1,2,1,4,1,1,0,1,0,0,0,0,1,2,2,2,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,0
62,7,62,1,,31,1,4,1,2,0,0,2,0,1,0,0,0,0,1,2,2,2,0,,9,0,9,3,2,0,,10,0,10,1,2,1,2,9,0,7,5,2,1,2,9,0,9,5,2,1,1,7,1,9,5,2,0,,6,0,8,3,2,2
63,7,59,1,,28,3,1,1,2,1,1,1,0,1,0,0,0,0,1,2,2,2,0,,9,0,9,1,2,0,,9,1,9,8,2,0,,7,1,9,5,2,1,1,6,0,5,5,2,1,2,7,1,7,5,2,0,,7,0,7,6,2,2
64,7,56,1,,21,1,8,1,2,4,1,1,0,1,0,0,0,0,1,2,2,2,0,,7,1,5,6,2,0,,8,1,7,6,2,1,2,7,0,7,5,2,0,,5,0,5,5,2,1,3,7,0,7,5,2,1,3,7,0,6,5,2,2
65,7,47,1,,16,3,1,1,1,1,3,1,0,1,0,0,0,0,1,2,2,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,0
66,7,57,1,,23,6,1,1,1,3,10,1,0,1,0,0,0,0,1,2,2,2,0,,9,0,2,2,2,0,,7,1,9,3,2,1,2,9,1,5,5,2,1,1,10,1,5,5,2,1,2,10,1,5,7,2,1,1,5,0,5,6,2,2
67,7,56,1,,26,1,4,1,2,1,3,2,0,1,0,0,0,0,1,2,2,2,0,,10,0,9,1,2,0,,10,0,10,1,2,0,,9,1,8,5,2,0,,9,1,9,5,2,1,1,9,0,9,5,2,0,,9,0,9,6,2,2
68,7,37,1,,5,3,1,1,2,0,0,1,0,1,0,0,0,0,1,2,2,2,0,,10,0,9,1,2,0,,10,0,10,1,2,0,,10,1,10,5,2,1,1,10,1,10,5,2,1,1,10,1,10,5,2,1,1,10,0,10,6,2,2
69,7,70,1,,38,3,1,1,1,0,0,1,0,1,0,0,0,0,1,2,2,2,0,,9,0,10,6,2,0,,9,0,9,6,2,1,3,7,1,10,7,2,1,2,10,1,10,7,2,1,2,10,1,7,7,2,1,2,9,1,8,7,2,2
70,7,53,1,,12,3,1,1,2,1,0,1,0,1,0,0,0,0,1,2,2,2,0,,9,0,8,6,2,0,,9,0,8,6,2,1,1,8,1,5,5,2,1,1,9,0,6,5,2,1,1,9,0,5,6,2,0,,9,0,8,6,2,2
71,7,51,1,,20,3,1,1,2,1,0,1,0,1,0,0,0,0,1,1,2,2,0,,8,0,5,6,2,0,,6,0,4,6,2,0,,5,1,6,5,2,0,,5,1,5,6,2,1,1,8,0,5,5,2,0,,5,1,5,6,2,2
72,7,61,1,,32,3,1,1,1,0,0,1,0,1,0,0,0,0,1,2,2,2,0,,9,0,7,6,2,0,,9,0,6,6,2,1,1,7,1,6,5,2,1,1,6,1,6,5,2,1,2,8,1,6,5,2,0,,6,0,5,5,2,2
73,7,55,1,,22,1,1,1,4,1,40,1,0,0,0,0,0,1,1,2,2,2,0,,5,0,6,5,2,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,0
74,7,55,1,,22,3,10,1,1,10,16,1,0,1,0,0,0,0,1,2,2,2,0,,7,1,4,6,2,0,,5,1,5,6,2,1,2,8,1,8,5,2,1,2,10,0,10,5,2,1,2,10,0,5,5,2,1,3,6,1,5,5,2,2
75,7,51,1,,11,5,10,2,1,2,4,1,0,0,0,0,0,1,1,2,2,2,0,,10,1,8,6,2,0,,6,1,10,6,2,1,1,8,0,8,6,2,1,1,10,0,8,5,2,1,3,8,0,8,7,2,1,2,8,0,8,7,2,2
